Series Name,"Series Code","Country Name","Country Code","2018 [YR2018]"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Netherlands","NLD","55022.918199869"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","New Caledonia","NCL","NA"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","New Zealand","NZL","37997.3539814059"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Nicaragua","NIC","1860.43853312621"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Niger","NER","403.485286590113"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Nigeria","NGA","2396.31091419546"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","North Macedonia","MKD","5394.28847819909"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Northern Mariana Islands","MNP","18577.7914891156"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Norway","NOR","92077.574309644"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Oman","OMN","15796.7730860886"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Pakistan","PAK","1197.84274427141"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Palau","PLW","12260.2233356517"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Panama","PAN","11723.9305639817"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Papua New Guinea","PNG","2416.93307958171"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Paraguay","PRY","5396.48081204328"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Peru","PER","6453.56052508568"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Philippines","PHL","3021.98686253681"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Poland","POL","16659.3321065175"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Portugal","PRT","23994.6624298675"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Puerto Rico","PRI","27340.6541656856"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Qatar","QAT","63260.5584959583"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Romania","ROU","11532.0634852715"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Russian Federation","RUS","11729.0891004034"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Rwanda","RWA","824.518848408768"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Samoa","WSM","3748.84406858747"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","San Marino","SMR","NA"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Sao Tome and Principe","STP","1297.35857228489"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Saudi Arabia","SAU","20819.7445742964"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Senegal","SEN","1546.52015893317"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Serbia","SRB","6886.50034784975"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Seychelles","SYC","14385.3018089603"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Sierra Leone","SLE","472.825438057198"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Singapore","SGP","58247.8726396071"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Sint Maarten (Dutch part)","SXM","NA"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Slovak Republic","SVK","20599.1468427086"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Slovenia","SVN","26768.3926429479"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Solomon Islands","SLB","1482.60671759695"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Somalia","SOM","NA"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","South Africa","ZAF","7433.61539826952"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","South Sudan","SSD","NA"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Spain","ESP","32949.5819818571"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Sri Lanka","LKA","3936.45024606602"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","St. Kitts and Nevis","KNA","16942.6664176757"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","St. Lucia","LCA","8485.27171394218"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","St. Martin (French part)","MAF","NA"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","St. Vincent and the Grenadines","VCT","6852.60660188886"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Sudan","SDN","1855.62629215613"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Suriname","SUR","8040.94011128172"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Sweden","SWE","57921.3792813456"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Switzerland","CHE","79214.3547914834"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Syrian Arab Republic","SYR","NA"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Tajikistan","TJK","1073.02183482136"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Tanzania","TZA","959.354688726875"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Thailand","THA","6361.62499026563"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Timor-Leste","TLS","2759.52650321924"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Togo","TGO","676.173403625576"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Tonga","TON","4054.94072244493"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Trinidad and Tobago","TTO","15161.0684555798"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Tunisia","TUN","4401.05718965754"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Turkey","TUR","15068.982383455"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Turkmenistan","TKM","7647.93580378613"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Turks and Caicos Islands","TCA","NA"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Tuvalu","TUV","3636.05500647562"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Uganda","UGA","710.081948117871"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Ukraine","UKR","3110.19464582486"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","United Arab Emirates","ARE","40782.4436240123"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","United Kingdom","GBR","43324.5929697405"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","United States","USA","54579.0168374446"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Uruguay","URY","14617.464002064"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Uzbekistan","UZB","2366.28520017032"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Vanuatu","VUT","2875.43040562306"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Venezuela, RB","VEN","NA"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Vietnam","VNM","1964.4759908863"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Virgin Islands (U.S.)","VIR","NA"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","West Bank and Gaza","PSE","2680.31812267179"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Yemen, Rep.","YEM","667.945436909641"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Zambia","ZMB","1672.34542786224"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Zimbabwe","ZWE","1322.3440634317"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Arab World","ARB","6452.47330369676"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Caribbean small states","CSS","8959.47708784592"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Central Europe and the Baltics","CEB","16276.0871743109"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Early-demographic dividend","EAR","3735.98875125814"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","East Asia & Pacific","EAS","10262.4797451395"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","East Asia & Pacific (excluding high income)","EAP","6469.00532353847"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","East Asia & Pacific (IDA & IBRD countries)","TEA","6536.96149784556"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Euro area","EMU","40952.8223664951"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Europe & Central Asia","ECS","26283.7416797929"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Europe & Central Asia (excluding high income)","ECA","9552.61887166233"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Europe & Central Asia (IDA & IBRD countries)","TEC","10195.8880582059"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","European Union","EUU","36596.8311555142"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Fragile and conflict affected situations","FCS","1597.22953080243"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Heavily indebted poor countries (HIPC)","HPC","905.619651683376"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","High income","HIC","43558.7020624771"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","IBRD only","IBD","6061.91065121436"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","IDA & IBRD total","IBT","4839.80948985434"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","IDA blend","IDB","1783.57236896186"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","IDA only","IDX","1028.99945962479"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","IDA total","IDA","1287.52691417174"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Late-demographic dividend","LTE","8636.25998909611"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Latin America & Caribbean","LCN","9555.02356776776"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Latin America & Caribbean (excluding high income)","LAC","9195.07594003763"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Latin America & the Caribbean (IDA & IBRD countries)","TLA","9480.06529946187"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Least developed countries: UN classification","LDC","957.334819684082"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Low & middle income","LMY","4706.00849518458"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Low income","LIC","739.755788254883"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Lower middle income","LMC","2261.7510736553"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Middle East & North Africa","MEA","7839.0684733916"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Middle East & North Africa (excluding high income)","MNA","NA"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Middle East & North Africa (IDA & IBRD countries)","TMN","NA"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Middle income","MIC","5197.86399659101"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","North America","NAC","54261.0806654224"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Not classified","INX","NA"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","OECD members","OED","39973.5066876255"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Other small states","OSS","13743.0642736848"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Pacific island small states","PSS","3373.67397618357"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Post-demographic dividend","PST","44018.1009777987"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Pre-demographic dividend","PRE","1492.92961923076"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Small states","SST","12246.0861412054"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","South Asia","SAS","1888.0465709665"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","South Asia (IDA & IBRD)","TSA","1888.0465709665"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Sub-Saharan Africa","SSF","1659.95222448112"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Sub-Saharan Africa (excluding high income)","SSA","1658.80978100119"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Sub-Saharan Africa (IDA & IBRD countries)","TSS","1659.95222448112"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","Upper middle income","UMC","8537.00189634017"
GDP per capita (constant 2010 US$),"NY.GDP.PCAP.KD","World","WLD","10891.0014667609"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Afghanistan","AFG","2.58492693988024"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Albania","ALB","13.7447359109736"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Algeria","DZA","6.36249654497986"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","American Samoa","ASM","NA"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Andorra","AND","NA"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Angola","AGO","2.21637364776329"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Antigua and Barbuda","ATG","8.79982551980558"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Argentina","ARG","11.1177888760774"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Armenia","ARM","11.2538176570131"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Aruba","ABW","13.5509471396854"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Australia","AUS","15.6564752275591"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Austria","AUT","19.0015664595899"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Azerbaijan","AZE","6.19518275071493"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Bahamas, The","BHS","7.25760235662035"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Bahrain","BHR","2.42633387832394"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Bangladesh","BGD","5.15839063962068"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Barbados","BRB","15.8026939621338"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Belarus","BLR","14.8451481743098"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Belgium","BEL","18.7887437383395"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Belize","BLZ","4.73645877657144"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Benin","BEN","3.25360529746338"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Bermuda","BMU","NA"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Bhutan","BTN","6.00301171280561"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Bolivia","BOL","7.19194739218447"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Bosnia and Herzegovina","BIH","16.4703174710621"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Botswana","BWA","4.22387434629301"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Brazil","BRA","8.92283783244003"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","British Virgin Islands","VGB","NA"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Brunei Darussalam","BRN","4.87314756750582"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Bulgaria","BGR","21.021914434268"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Burkina Faso","BFA","2.40698082866355"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Burundi","BDI","2.24694046033717"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Cabo Verde","CPV","4.60932715666821"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Cambodia","KHM","4.56868001756576"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Cameroon","CMR","2.72887735524057"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Canada","CAN","17.2320066788651"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Cayman Islands","CYM","NA"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Central African Republic","CAF","2.82577370666008"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Chad","TCD","2.48051894434901"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Channel Islands","CHI","17.2974621552033"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Chile","CHL","11.5298016568816"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","China","CHN","10.9208835350654"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Colombia","COL","8.47804701986958"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Comoros","COM","3.00700930649436"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Congo, Dem. Rep.","COD","3.01784062159803"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Congo, Rep.","COG","2.68171953903232"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Costa Rica","CRI","9.54984767296984"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Cote d'Ivoire","CIV","2.85894301500285"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Croatia","HRV","20.445433012423"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Cuba","CUB","15.1862114171521"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Curacao","CUW","16.6848948092804"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Cyprus","CYP","13.7190617734483"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Czech Republic","CZE","19.4208768932343"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Denmark","DNK","19.8129526369902"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Djibouti","DJI","4.52757937811482"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Dominica","DMA","NA"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Dominican Republic","DOM","7.08281747649721"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Ecuador","ECU","7.15728972666108"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Egypt, Arab Rep.","EGY","5.22977934620923"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","El Salvador","SLV","8.28709000480629"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Equatorial Guinea","GNQ","2.45787734677897"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Eritrea","ERI","NA"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Estonia","EST","19.6263568469749"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Eswatini","SWZ","4.01458794083506"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Ethiopia","ETH","3.50113299760986"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Faroe Islands","FRO","NA"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Fiji","FJI","5.44968041263952"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Finland","FIN","21.7207875455222"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","France","FRA","20.0346247469881"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","French Polynesia","PYF","8.29050810468202"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Gabon","GAB","3.56390746835592"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Gambia, The","GMB","2.58998093938232"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Georgia","GEO","14.8654914310525"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Germany","DEU","21.4619619953309"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Ghana","GHA","3.06889800693396"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Gibraltar","GIB","NA"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Greece","GRC","21.6552720778435"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Greenland","GRL","NA"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Grenada","GRD","9.62190679562869"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Guam","GUM","9.84991071859466"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Guatemala","GTM","4.81207250828785"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Guinea","GIN","2.92602244847935"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Guinea-Bissau","GNB","2.82371633615269"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Guyana","GUY","6.45027124309697"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Haiti","HTI","4.94940384843253"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Honduras","HND","4.69061765907812"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Hong Kong SAR, China","HKG","16.8750483265122"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Hungary","HUN","19.1577253832321"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Iceland","ISL","14.7950925565689"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","India","IND","6.17995564947149"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Indonesia","IDN","5.85716561272863"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Iran, Islamic Rep.","IRN","6.18457380562499"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Iraq","IRQ","3.32359966279505"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Ireland","IRL","13.8658017012923"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Isle of Man","IMN","NA"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Israel","ISR","11.9769860249625"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Italy","ITA","22.7516796025077"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Jamaica","JAM","8.79664255070196"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Japan","JPN","27.576369910355"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Jordan","JOR","3.84649039799834"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Kazakhstan","KAZ","7.39184627103032"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Kenya","KEN","2.33918661191556"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Kiribati","KIR","3.95262717204589"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Korea, Dem. People’s Rep.","PRK","9.33452040978796"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Korea, Rep.","KOR","14.4185558323969"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Kosovo","XKX","NA"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Kuwait","KWT","2.55047238400198"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Kyrgyz Republic","KGZ","4.49472797559656"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Lao PDR","LAO","4.0751499644481"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Latvia","LVA","20.0436203206809"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Lebanon","LBN","7.00236813439294"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Lesotho","LSO","4.90108749682213"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Liberia","LBR","3.25343179968014"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Libya","LBY","4.39204025898401"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Liechtenstein","LIE","NA"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Lithuania","LTU","19.7050331564608"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Luxembourg","LUX","14.1831541841472"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Macao SAR, China","MAC","10.4842029270023"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Madagascar","MDG","2.98671712579162"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Malawi","MWI","2.64543493031032"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Malaysia","MYS","6.67175462547886"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Maldives","MDV","3.70334460612454"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Mali","MLI","2.50722975755683"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Malta","MLT","20.3493242997122"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Marshall Islands","MHL","NA"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Mauritania","MRT","3.14111215805009"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Mauritius","MUS","11.4741730686522"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Mexico","MEX","7.22368498087198"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Micronesia, Fed. Sts.","FSM","3.99680397727273"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Moldova","MDA","11.4695563413512"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Monaco","MCO","NA"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Mongolia","MNG","4.08353878726245"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Montenegro","MNE","14.9749366447439"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Morocco","MAR","7.0129048211122"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Mozambique","MOZ","2.8907644574499"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Myanmar","MMR","5.78464193257209"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Namibia","NAM","3.63603168074514"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Nauru","NRU","NA"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Nepal","NPL","5.72767077569198"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Netherlands","NLD","19.1961926333387"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","New Caledonia","NCL","9.17415792537671"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","New Zealand","NZL","15.6524245271741"
Population ages 65 and above (% of total population),"SP.POP.65UP.TO.ZS","Nicaragua","NIC","5.24749744838026"
